,From,To,Connection
315,5739,2977,1
316,5739,2990,1
317,5739,3258,1
318,5739,3358,1
319,5739,3521,1
320,5739,3938,1
321,5739,4585,1
322,5739,4923,1
323,5739,4983,1
324,5739,5151,1
325,5739,5250,1
326,5739,5299,1
327,5739,5360,1
328,5739,5596,1
329,5739,5606,1
330,5739,6072,1
331,5739,6075,1
332,5739,6679,1
333,5739,6861,1
334,5739,6862,1
335,5739,7093,1
336,5739,7148,1
337,5739,7428,1
338,5739,7676,1
339,5739,7889,1
340,5739,7989,1
341,5739,8012,1
342,5739,8132,1
343,5739,8476,1
344,5739,8694,1
345,5739,8937,1
346,5739,9187,1
347,5739,9188,1
348,5739,9492,1
349,5739,9557,1
350,5739,9869,1
351,1796,907,1
352,1796,2085,1
353,1796,2247,1
354,1796,3090,1
355,1796,6108,1
356,1796,9445,1
357,6108,610,1
358,6108,1796,1
359,6108,2821,1
360,6108,2892,1
361,6108,3462,1
362,6108,3584,1
363,6108,4203,1
364,6108,4246,1
365,6108,5802,1
366,6108,6005,1
367,6108,7150,1
368,6108,7973,1
369,6108,9276,1
370,1747,293,1
371,1747,1063,1
372,1747,3871,1
373,1747,4266,1
374,1747,5791,1
375,1747,7602,1
376,1747,9347,1
377,3871,222,1
378,3871,413,1
379,3871,726,1
380,3871,1364,1
381,3871,1396,1
382,3871,1591,1
383,3871,1747,1
384,3871,2106,1
385,3871,2181,1
386,3871,2238,1
387,3871,2800,1
388,3871,3818,1
389,3871,3938,1
390,3871,3970,1
391,3871,4186,1
392,3871,4997,1
393,3871,5791,1
394,3871,5925,1
395,3871,6485,1
396,3871,6645,1
397,3871,6742,1
398,3871,6880,1
399,3871,7393,1
400,3871,7971,1
401,3871,8342,1
402,3871,9347,1
403,3871,9427,1
404,3871,9736,1
405,5791,222,1
406,5791,349,1
407,5791,1747,1
408,5791,1792,1
409,5791,2705,1
410,5791,2733,1
411,5791,3257,1
412,5791,3871,1
413,5791,4526,1
414,5791,4697,1
415,5791,8342,1
416,5791,8799,1
417,5791,8981,1
418,5791,9347,1
419,5791,9427,1
420,2878,210,1
421,2878,736,1
422,2878,1703,1
423,2878,3371,1
424,2878,3373,1
425,2878,3811,1
426,2878,4974,1
427,2878,5190,1
428,2878,6423,1
429,2878,7190,1
430,2878,7442,1
431,2878,8113,1
432,2878,8127,1
433,2878,9736,1
434,8113,377,1
435,8113,736,1
436,8113,1703,1
437,8113,2074,1
438,8113,2231,1
439,8113,2274,1
440,8113,2878,1
441,8113,3856,1
442,8113,4974,1
443,8113,5284,1
444,8113,6191,1
445,8113,6203,1
446,8113,7314,1
447,8113,7696,1
448,8113,9428,1
449,5034,224,1
450,5034,423,1
451,5034,516,1
452,5034,934,1
453,5034,1490,1
454,5034,2545,1
455,5034,3772,1
456,5034,4170,1
457,5034,4284,1
458,5034,4421,1
459,5034,5328,1
460,5034,5798,1
461,5034,6234,1
462,5034,6245,1
463,5034,6903,1
464,5034,6947,1
465,5034,7350,1
466,5034,7442,1
467,5034,8243,1
468,5034,8318,1
469,5034,8429,1
470,5034,8839,1
471,5034,9711,1
472,6234,5034,1
473,6234,7442,1
474,7442,2878,1
475,7442,5034,1
476,7442,5134,1
478,7442,6245,1
479,7442,8839,1
480,7442,9711,1
481,7442,9736,1
482,3258,47,1
483,3258,817,1
484,3258,855,1
485,3258,1186,1
486,3258,1266,1
487,3258,1666,1
488,3258,1729,1
489,3258,2352,1
490,3258,2517,1
491,3258,2611,1
492,3258,2712,1
493,3258,2788,1
494,3258,2977,1
495,3258,2990,1
496,3258,3509,1
497,3258,3938,1
498,3258,4426,1
499,3258,4471,1
500,3258,4539,1
501,3258,4585,1
502,3258,4662,1
503,3258,4688,1
504,3258,4924,1
505,3258,4999,1
506,3258,5299,1
507,3258,5606,1
508,3258,5739,1
509,3258,6339,1
510,3258,6880,1
511,3258,7295,1
512,3258,7437,1
513,3258,8012,1
514,3258,8132,1
515,3258,8476,1
516,3258,9076,1
517,3258,9297,1
518,8476,78,1
519,8476,168,1
520,8476,331,1
521,8476,522,1
522,8476,582,1
523,8476,639,1
524,8476,640,1
525,8476,817,1
526,8476,974,1
527,8476,1027,1
528,8476,1055,1
529,8476,1186,1
530,8476,2028,1
531,8476,2352,1
532,8476,2399,1
533,8476,2554,1
534,8476,2691,1
535,8476,2788,1
536,8476,2900,1
537,8476,2982,1
538,8476,3130,1
539,8476,3258,1
540,8476,3303,1
541,8476,3524,1
542,8476,3966,1
543,8476,4011,1
544,8476,4999,1
545,8476,5151,1
546,8476,5161,1
547,8476,5250,1
548,8476,5560,1
549,8476,5606,1
550,8476,5615,1
551,8476,5739,1
552,8476,5792,1
553,8476,5925,1
554,8476,6380,1
555,8476,6561,1
556,8476,6645,1
557,8476,6834,1
558,8476,6880,1
559,8476,6952,1
560,8476,7889,1
561,8476,8012,1
562,8476,8356,1
563,8476,8419,1
564,8476,8785,1
565,8476,8909,1
566,8476,9076,1
567,8476,9263,1
568,8476,9492,1
569,8476,9617,1
570,8476,9735,1
571,737,52,1
572,737,516,1
573,737,751,1
574,737,1375,1
575,737,2116,1
576,737,2519,1
577,737,3091,1
578,737,3284,1
579,737,3293,1
580,737,3549,1
581,737,3592,1
582,737,4775,1
583,737,5464,1
584,737,6324,1
585,737,7912,1
586,737,8109,1
587,737,8318,1
588,737,9076,1
589,737,9092,1
590,737,9409,1
591,737,9492,1
592,737,9818,1
593,737,9869,1
594,3284,18,1
595,3284,737,1
596,3284,3285,1
597,3284,3979,1
598,3284,7534,1
599,3284,7668,1
600,3284,7901,1
601,3284,8109,1
602,3284,8830,1
603,3284,9558,1
604,8109,737,1
605,8109,826,1
606,8109,1362,1
607,8109,2703,1
608,8109,3022,1
609,8109,3284,1
610,8109,4310,1
611,8109,4741,1
612,8109,6024,1
613,8109,7300,1
614,8109,7339,1
615,976,324,1
616,976,1237,1
617,976,1446,1
618,976,3117,1
619,976,5027,1
620,976,5350,1
621,976,5425,1
622,976,5910,1
623,976,6163,1
624,976,6815,1
625,976,7240,1
626,976,7794,1
627,976,8423,1
628,5425,976,1
629,5425,1237,1
630,5425,1887,1
631,5425,2376,1
632,5425,3670,1
633,5425,6163,1
634,5425,6815,1
635,5425,7643,1
636,5425,8396,1
637,5425,8539,1
638,5425,9314,1
639,5425,9455,1
640,5425,9781,1
641,6815,785,1
642,6815,976,1
643,6815,1630,1
644,6815,1903,1
645,6815,2518,1
646,6815,3065,1
647,6815,4158,1
648,6815,5425,1
649,6815,9333,1
650,1573,1224,1
651,1573,4437,1
652,1573,5917,1
653,4437,948,1
654,4437,1573,1
655,4437,5917,1
656,5917,42,1
657,5917,99,1
658,5917,1154,1
659,5917,1236,1
660,5917,1573,1
661,5917,1839,1
662,5917,2400,1
663,5917,2543,1
664,5917,3021,1
665,5917,3494,1
666,5917,4383,1
668,5917,4742,1
669,5917,5027,1
670,5917,5311,1
671,5917,5772,1
672,5917,5797,1
673,5917,6667,1
674,5917,6996,1
675,5917,7273,1
676,5917,7563,1
677,5917,8142,1
678,5917,8144,1
679,5917,8193,1
680,5917,9091,1
681,12,13,1
682,12,76,1
683,12,216,1
684,12,520,1
685,12,1011,1
686,12,1090,1
687,12,1631,1
688,12,1698,1
689,12,1748,1
690,12,1898,1
691,12,2341,1
692,12,2381,1
693,12,2469,1
694,12,3225,1
695,12,4167,1
696,12,4886,1
697,12,5197,1
698,12,5503,1
699,12,5686,1
700,12,5699,1
701,12,7406,1
702,12,7577,1
703,12,8174,1
704,12,8319,1
705,12,8372,1
706,12,8488,1
707,12,8582,1
708,12,9314,1
709,12,9699,1
710,12,9815,1
711,13,12,1
712,13,1011,1
713,13,1090,1
714,13,1748,1
715,13,1898,1
716,13,2617,1
717,13,2939,1
718,13,3225,1
719,13,7406,1
720,13,7577,1
721,13,8319,1
722,13,8372,1
723,13,9098,1
724,13,9699,1
725,1748,12,1
726,1748,13,1
727,1748,33,1
728,1748,113,1
729,1748,141,1
730,1748,216,1
731,1748,1121,1
732,1748,1753,1
733,1748,2093,1
734,1748,3225,1
735,1748,3539,1
736,1748,8122,1
737,1748,9173,1
738,1748,9699,1
739,3225,12,1
740,3225,13,1
741,3225,1137,1
742,3225,1748,1
743,3225,3339,1
744,3225,6344,1
745,3225,8418,1
746,3225,8506,1
747,3225,8654,1
748,3225,9559,1
749,7536,1907,1
750,7536,3406,1
751,7536,3741,1
752,7536,3745,1
753,7536,4219,1
754,7536,4353,1
755,7536,4759,1
756,7536,5095,1
757,7536,5317,1
758,7536,5377,1
759,7536,5602,1
760,7536,5802,1
761,7536,5941,1
762,7536,6029,1
763,7536,6185,1
764,7536,6198,1
765,7536,6283,1
766,7536,7537,1
767,7536,7543,1
768,7536,7668,1
769,7536,8048,1
770,7536,8064,1
771,7536,8509,1
772,7536,8589,1
773,7536,8657,1
774,7536,8853,1
775,7536,9007,1
776,7536,9649,1
777,8657,316,1
778,8657,1826,1
779,8657,3281,1
780,8657,3744,1
781,8657,4101,1
782,8657,4353,1
783,8657,5377,1
784,8657,6188,1
785,8657,7536,1
786,8657,7948,1
787,8657,8035,1
788,8657,8525,1
789,8657,8945,1
790,8657,9007,1
791,8657,9574,1
792,8657,9584,1
793,331,582,1
794,331,1109,1
795,331,1926,1
796,331,1940,1
797,331,2028,1
798,331,2291,1
799,331,2554,1
800,331,2788,1
801,331,3025,1
802,331,3693,1
803,331,4772,1
804,331,4999,1
805,331,5059,1
806,331,5226,1
807,331,6004,1
808,331,6660,1
809,331,6861,1
810,331,7889,1
811,331,7971,1
812,331,8456,1
813,331,8476,1
814,331,8785,1
815,331,8991,1
816,331,9492,1
817,8991,331,1
818,8991,1109,1
819,8991,1500,1
820,8991,1926,1
821,8991,2420,1
822,8991,3025,1
823,8991,3417,1
824,8991,3885,1
825,8991,3953,1
826,8991,5059,1
827,8991,8068,1
828,8991,8085,1
829,8991,8437,1
830,8991,9279,1
831,8991,9338,1
832,8008,732,1
833,8008,7946,1
834,8008,9327,1
835,9327,2412,1
836,9327,4190,1
837,9327,4436,1
838,9327,4859,1
839,9327,5008,1
840,9327,5876,1
841,9327,6912,1
842,9327,6990,1
843,9327,7135,1
844,9327,7383,1
845,9327,7799,1
846,9327,7948,1
847,9327,7972,1
848,9327,8008,1
849,9327,8404,1
850,9327,8766,1
851,9327,9548,1
852,9327,9591,1
853,9327,9785,1
854,9327,9791,1
855,2497,94,1
856,2497,975,1
857,2497,981,1
858,2497,2247,1
859,2497,2710,1
860,2497,2803,1
861,2497,2867,1
862,2497,3090,1
863,2497,3751,1
864,2497,4491,1
865,2497,4585,1
866,2497,4808,1
867,2497,5354,1
868,2497,7916,1
869,2497,9603,1
870,2497,9834,1
871,2497,9855,1
872,4585,94,1
873,4585,735,1
874,4585,751,1
875,4585,911,1
876,4585,2160,1
877,4585,2497,1
878,4585,2824,1
879,4585,2977,1
880,4585,3258,1
881,4585,3558,1
882,4585,4105,1
883,4585,4427,1
884,4585,4688,1
885,4585,4772,1
886,4585,5250,1
887,4585,5299,1
888,4585,5739,1
889,4585,6380,1
890,4585,6652,1
891,4585,7038,1
892,4585,7515,1
893,4585,7648,1
894,4585,7850,1
895,4585,7889,1
896,4585,8927,1
897,1820,7799,1
898,1820,7946,1
899,1820,8106,1
900,1820,8766,1
901,1820,8917,1
902,7799,1820,1
903,7799,5008,1
904,7799,6912,1
905,7799,9327,1
906,7799,9548,1
907,1283,86,1
908,1283,806,1
909,1283,1176,1
910,1283,1243,1
911,1283,1330,1
912,1283,1735,1
913,1283,2403,1
914,1283,2832,1
915,1283,3021,1
916,1283,3264,1
917,1283,5106,1
918,1283,5107,1
919,1283,5110,1
920,1283,6526,1
921,1283,6657,1
922,1283,6825,1
923,1283,6909,1
924,1283,6984,1
925,1283,7134,1
926,1283,8682,1
927,1283,9203,1
928,1283,9231,1
929,1283,9731,1
930,2403,85,1
931,2403,266,1
932,2403,1283,1
933,2403,1322,1
934,2403,1589,1
935,2403,1641,1
936,2403,2264,1
937,2403,2635,1
938,2403,2832,1
939,2403,3264,1
940,2403,5334,1
941,2403,5470,1
942,2403,6825,1
943,2403,6984,1
944,2403,7020,1
945,2403,8424,1
946,2403,9231,1
947,2832,1228,1
948,2832,1283,1
949,2832,2403,1
950,2832,3264,1
951,2832,4795,1
952,2832,5107,1
953,2832,6825,1
954,2832,6984,1
955,2832,8682,1
956,2832,9231,1
957,6984,806,1
958,6984,1283,1
959,6984,1735,1
960,6984,2017,1
961,6984,2403,1
962,6984,2832,1
963,6984,3264,1
964,6984,5104,1
965,6984,8682,1
966,6984,9231,1
967,6984,9731,1
968,9231,1283,1
969,9231,2017,1
970,9231,2403,1
971,9231,2832,1
972,9231,3264,1
973,9231,5107,1
974,9231,6825,1
975,9231,6984,1
976,9231,8682,1
977,5609,415,1
978,5609,495,1
979,5609,573,1
980,5609,726,1
981,5609,871,1
982,5609,1379,1
983,5609,1396,1
984,5609,1844,1
985,5609,2800,1
986,5609,3095,1
987,5609,3509,1
988,5609,3579,1
989,5609,4851,1
990,5609,5957,1
991,5609,6340,1
992,5609,7062,1
993,5609,8621,1
994,5609,8998,1
995,5609,9602,1
996,5609,9651,1
997,5609,9701,1
998,9602,1417,1
999,9602,1860,1
1000,9602,2286,1
1001,9602,2366,1
1002,9602,2673,1
1003,9602,3543,1
1004,9602,4855,1
1005,9602,5609,1
1006,9602,6880,1
1007,9602,7075,1
1008,9602,8020,1
1009,9602,9328,1
1010,9602,9682,1
1011,9602,9806,1
1012,9602,9812,1
1013,1142,1829,1
1014,1142,3031,1
1015,1142,3481,1
1016,1142,5620,1
1017,1142,5621,1
1018,1829,1142,1
1019,1829,3481,1
1020,1829,5620,1
1021,3481,1142,1
1022,3481,1364,1
1023,3481,1695,1
1024,3481,1801,1
1025,3481,1829,1
1026,3481,2016,1
1027,3481,2209,1
1028,3481,2236,1
1029,3481,2346,1
1030,3481,2511,1
1031,3481,2642,1
1032,3481,3027,1
1033,3481,3031,1
1034,3481,3084,1
1035,3481,4179,1
1036,3481,4303,1
1037,3481,4547,1
1038,3481,4761,1
1039,3481,5391,1
1040,3481,5404,1
1041,3481,5620,1
1042,3481,5621,1
1043,3481,6000,1
1044,3481,6559,1
1045,3481,6597,1
1046,3481,8058,1
1047,3481,8733,1
1048,3481,8859,1
1049,3481,8893,1
1050,3481,9102,1
1051,5620,205,1
1052,5620,1142,1
1053,5620,1299,1
1055,5620,2346,1
1056,5620,2360,1
1057,5620,2543,1
1058,5620,2642,1
1059,5620,3084,1
1060,5620,3481,1
1061,5620,4408,1
1062,5620,5092,1
1063,5620,6559,1
1064,5420,108,1
1065,5420,150,1
1066,5420,210,1
1067,5420,1190,1
1068,5420,1749,1
1069,5420,2479,1
1070,5420,3561,1
1071,5420,3644,1
1072,5420,4957,1
1073,5420,4992,1
1074,5420,5681,1
1075,5420,5698,1
1076,5420,5726,1
1077,5420,6260,1
1078,5420,7278,1
1079,5420,7466,1
1080,5681,16,1
1081,5681,327,1
1082,5681,498,1
1083,5681,509,1
1084,5681,953,1
1085,5681,2466,1
1086,5681,3460,1
1087,5681,3774,1
1088,5681,3881,1
1089,5681,5420,1
1090,5681,5807,1
1091,5681,6504,1
1092,5681,7776,1
1093,5681,8139,1
1094,618,346,1
1095,618,743,1
1096,618,1649,1
1097,618,2518,1
1098,618,3140,1
1099,618,3751,1
1100,618,7444,1
1101,618,8246,1
1102,618,8792,1
1103,8246,548,1
1104,8246,618,1
1105,8246,745,1
1106,8246,3185,1
1107,222,113,1
1108,222,230,1
1109,222,346,1
1110,222,406,1
1111,222,783,1
1112,222,795,1
1113,222,970,1
1114,222,1129,1
1115,222,1238,1
1116,222,1405,1
1117,222,1581,1
1118,222,1634,1
1119,222,1779,1
1120,222,2088,1
1121,222,2228,1
1122,222,2292,1
1123,222,2614,1
1124,222,2766,1
1125,222,2789,1
1126,222,2984,1
1127,222,3168,1
1128,222,3210,1
1129,222,3246,1
1130,222,3306,1
1131,222,3469,1
1132,222,3542,1
1133,222,3627,1
1134,222,3796,1
1135,222,3833,1
1136,222,3871,1
1137,222,3889,1
1138,222,3929,1
1139,222,4027,1
1140,222,4092,1
1141,222,4444,1
1142,222,4466,1
1143,222,4491,1
1144,222,4956,1
1145,222,5107,1
1146,222,5141,1
1147,222,5322,1
1148,222,5626,1
1149,222,5791,1
1150,222,5984,1
1151,222,6149,1
1152,222,6187,1
1153,222,6363,1
1154,222,6735,1
1155,222,6989,1
1156,222,7348,1
1157,222,7660,1
1158,222,7687,1
1159,222,7688,1
1160,222,7880,1
1161,222,7881,1
1162,222,7907,1
1163,222,8308,1
1164,222,8571,1
1165,222,8786,1
1166,222,9191,1
1167,222,9339,1
1168,222,9389,1
1169,222,9418,1
1170,222,9667,1
1171,222,9731,1
1172,2334,1113,1
1173,2334,1311,1
1174,2334,1368,1
1175,2334,1682,1
1176,2334,2551,1
1177,2334,2552,1
1178,2334,2564,1
1179,2334,2679,1
1180,2334,2983,1
1181,2334,4338,1
1182,2334,4742,1
1183,2334,4896,1
1184,2334,6596,1
1185,2334,7847,1
1186,2334,8816,1
1187,2334,8842,1
1188,2334,9117,1
1189,2334,9196,1
1190,2334,9439,1
1191,2274,377,1
1192,2274,1244,1
1193,2274,2231,1
1194,2274,2718,1
1195,2274,2719,1
1196,2274,4975,1
1197,2274,5052,1
1198,2274,7555,1
1199,2274,8113,1
1200,2719,743,1
1201,2719,1040,1
1202,2719,2274,1
1203,2719,2551,1
1204,2719,4566,1
1205,2719,8824,1
1206,2719,8889,1
1207,298,1907,1
1208,298,3517,1
1209,298,3627,1
1210,298,5773,1
1211,298,8323,1
1212,298,8518,1
1213,298,8600,1
1214,298,8654,1
1215,298,8724,1
1216,298,8854,1
1217,1907,298,1
1218,1907,1213,1
1219,1907,1370,1
1220,1907,2080,1
1221,1907,2204,1
1222,1907,2518,1
1223,1907,2621,1
1224,1907,3991,1
1225,1907,4486,1
1226,1907,5358,1
1227,1907,5395,1
1228,1907,5602,1
1229,1907,6694,1
1230,1907,6770,1
1231,1907,6832,1
1232,1907,7124,1
1233,1907,7479,1
1234,1907,7536,1
1235,1907,8118,1
1236,1907,8189,1
1237,1907,9378,1
1238,4156,4024,1
1239,4156,4544,1
1240,4156,5117,1
1241,4156,6867,1
1242,4156,7658,1
1243,4156,7919,1
1244,4156,8612,1
1245,4544,174,1
1246,4544,779,1
1247,4544,823,1
1248,4544,857,1
1249,4544,1904,1
1250,4544,2457,1
1251,4544,4024,1
1252,4544,4156,1
1253,4544,4439,1
1254,4544,5048,1
1255,4544,5116,1
1256,4544,5634,1
1257,4544,5863,1
1258,4544,5868,1
1259,4544,6050,1
1260,4544,6518,1
1261,4544,7138,1
1262,4544,7919,1
1263,4544,9076,1
1264,2167,72,1
1265,2167,224,1
1266,2167,280,1
1267,2167,726,1
1268,2167,1063,1
1269,2167,1199,1
1270,2167,1531,1
1271,2167,1564,1
1272,2167,1910,1
1273,2167,2291,1
1274,2167,2292,1
1275,2167,2545,1
1276,2167,2689,1
1277,2167,2739,1
1278,2167,2767,1
1279,2167,3095,1
1280,2167,3970,1
1281,2167,3999,1
1282,2167,4043,1
1283,2167,4636,1
1284,2167,4799,1
1285,2167,4955,1
1286,2167,4975,1
1287,2167,5407,1
1288,2167,5645,1
1289,2167,5996,1
1290,2167,6366,1
1291,2167,6534,1
1292,2167,6875,1
1293,2167,6876,1
1294,2167,7012,1
1295,2167,7282,1
1296,2167,7592,1
1297,2167,8778,1
1298,2167,9259,1
1299,2167,9472,1
1300,2167,9649,1
1301,2167,9701,1
1302,5407,72,1
1303,5407,108,1
1304,5407,158,1
1305,5407,224,1
1306,5407,1199,1
1307,5407,1564,1
1308,5407,1910,1
1309,5407,2016,1
1310,5407,2167,1
1311,5407,2292,1
1312,5407,2739,1
1313,5407,2767,1
1314,5407,2971,1
1315,5407,3999,1
1316,5407,4271,1
1317,5407,4341,1
1318,5407,4444,1
1319,5407,4799,1
1320,5407,4933,1
1321,5407,4975,1
1322,5407,5131,1
1323,5407,5407,1
1324,5407,5645,1
1325,5407,5707,1
1326,5407,5996,1
1327,5407,6070,1
1328,5407,6534,1
1329,5407,6535,1
1330,5407,6541,1
1331,5407,7282,1
1332,5407,7445,1
1333,5407,7645,1
1334,5407,8571,1
1335,5407,8641,1
1336,5407,9259,1
1337,5407,9421,1
1338,5407,9472,1
1339,5996,53,1
1340,5996,72,1
1341,5996,224,1
1342,5996,280,1
1343,5996,726,1
1344,5996,1199,1
1345,5996,1531,1
1346,5996,1564,1
1347,5996,1910,1
1348,5996,2167,1
1349,5996,2237,1
1350,5996,2291,1
1351,5996,2292,1
1352,5996,2739,1
1353,5996,2781,1
1354,5996,3954,1
1355,5996,3999,1
1356,5996,4799,1
1357,5996,4853,1
1358,5996,4955,1
1359,5996,4975,1
1360,5996,5406,1
1361,5996,5407,1
1362,5996,5645,1
1363,5996,6534,1
1364,5996,7012,1
1365,5996,7445,1
1366,5996,9159,1
1367,5996,9259,1
1368,5996,9303,1
1369,5996,9472,1
1370,5996,9679,1
1371,5996,9825,1
1372,481,209,1
1373,481,210,1
1374,481,801,1
1375,481,972,1
1376,481,1014,1
1377,481,1234,1
1378,481,1877,1
1379,481,2432,1
1380,481,4111,1
1381,481,4235,1
1382,481,6559,1
1383,481,7949,1
1384,481,8046,1
1385,4235,235,1
1386,4235,287,1
1387,4235,444,1
1388,4235,481,1
1389,4235,1541,1
1390,4235,2258,1
1391,4235,2824,1
1392,4235,2987,1
1393,4235,3185,1
1394,4235,4111,1
1395,4235,4439,1
1396,4235,5029,1
1397,4235,5048,1
